league,season,team,player,nation,pos,age,matches,starts,minutes,nineties,goals,assists,np_goals,pens_scored,pens_taken,GA_p90,np_goals_p90,shots,shots_on_target,shots_p90,shots_on_target_p90,goals_per_shot,fouls,fouls_drawn,offsides,crosses,interceptions,tackles_won,understat_player_id,xG,xA,npxG,key_passes,xGChain,xGBuildup,_ust_goals,_ust_assists,_ust_shots,_ust_minutes,xG_p90,npxG_p90,xA_p90,key_passes_p90,xGChain_p90,xGBuildup_p90,crosses_p90,fouls_drawn_p90,offsides_p90,interceptions_p90,tackles_won_p90,npxG_plus_xA_p90,xG_per_shot,team_goals,team_np_goals,team_minutes,team_possession,team_shots,share_team_goals,share_team_shots,minutes_pct,team_goals_p90,GA_p90_tertile,season_next,target_tertile_next
GER-Bundesliga,1920,Eintracht Frankfurt,Daichi Kamada,JPN,"MF,FW",22.0,28,22,1969,21.9,2,4,2,0,0,0.27,0.09,46.0,18.0,2.1,0.82,0.04,28.0,38.0,7.0,88.0,9.0,20.0,6145.0,6.370812978595495,3.510614726226777,6.370812978595495,38.0,13.206479104235768,5.602587649598718,2.0,4.0,46.0,1970.0,0.2912001869342786,0.2912001869342786,0.16046486813631788,1.7369222955815136,0.603648105323118,0.2560857737246748,4.022346368715084,1.7369222955815136,0.31995937023869986,0.4113763331640427,0.9141696292534282,0.4516650550705965,0.13849593431729337,57,55,3060,50.9,500,0.03508771929824561,0.092,0.6434640522875817,1.6764705882352942,mid,2021,high
GER-Bundesliga,1920,Eintracht Frankfurt,David Abraham,ARG,DF,33.0,20,19,1688,18.8,2,0,2,0,0,0.11,0.11,7.0,4.0,0.37,0.21,0.29,14.0,12.0,0.0,9.0,23.0,13.0,283.0,1.300638597458601,0.1032258011400699,1.300638597458601,2.0,4.943648315966129,4.429274693131447,2.0,0.0,7.0,1692.0,0.06934684465122873,0.06934684465122873,0.005503745321449225,0.10663507109004738,0.2635831448086206,0.23615801088970984,0.47985781990521326,0.6398104265402843,0.0,1.226303317535545,0.693127962085308,0.07485058997267795,0.1858055139226573,57,55,3060,50.9,500,0.03508771929824561,0.014,0.5516339869281046,1.6764705882352942,mid,2021,low
GER-Bundesliga,1920,Eintracht Frankfurt,Djibril Sow,SUI,MF,22.0,29,18,1746,19.4,1,3,1,0,0,0.21,0.05,21.0,3.0,1.08,0.15,0.05,37.0,40.0,0.0,41.0,31.0,36.0,2624.0,1.6817258968949318,2.3930437844246626,1.6817258968949318,25.0,8.51553562283516,5.850032136309892,1.0,3.0,21.0,1732.0,0.08668690190180062,0.08668690190180062,0.12335277239302385,1.288659793814433,0.43894513519768863,0.30154804826339654,2.11340206185567,2.061855670103093,0.0,1.597938144329897,1.8556701030927836,0.21003967429482445,0.08008218556642532,57,55,3060,50.9,500,0.017543859649122806,0.042,0.5705882352941176,1.6764705882352942,mid,2021,mid
GER-Bundesliga,1920,Eintracht Frankfurt,Filip Kostić,SRB,MF,26.0,33,33,2958,32.9,4,11,4,0,0,0.46,0.12,88.0,28.0,2.68,0.85,0.05,36.0,36.0,4.0,383.0,23.0,39.0,64.0,5.679941883310676,11.78990552574396,5.679941883310676,78.0,20.71103086322546,11.335508834570646,4.0,11.0,88.0,2962.0,0.1728177043603654,0.1728177043603654,0.35871923506320363,2.3732251521298173,0.6301530688608152,0.344893777928113,11.65314401622718,1.0953346855983772,0.12170385395537525,0.6997971602434077,1.1866125760649087,0.531536939423569,0.06454479412853041,57,55,3060,50.9,500,0.07017543859649122,0.176,0.9666666666666667,1.6764705882352942,high,2021,high
GER-Bundesliga,1920,Eintracht Frankfurt,Kevin Trapp,GER,GK,29.0,22,22,1980,22.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,3.0,0.0,3286.0,0.0,0.0,0.0,0.0,2.2550457790493965,2.2550457790493965,0.0,0.0,0.0,1980.0,0.0,0.0,0.0,0.0,0.10250208086588165,0.10250208086588165,0.0,0.045454545454545456,0.0,0.13636363636363635,0.0,0.0,,57,55,3060,50.9,500,0.0,0.0,0.6470588235294118,1.6764705882352942,low,2021,low
GER-Bundesliga,1920,Eintracht Frankfurt,Makoto Hasebe,JPN,DF,35.0,23,21,1968,21.9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,28.0,0.0,2.0,25.0,19.0,282.0,0.0,0.3459344934672117,0.0,9.0,7.357060814276338,7.225832510739565,0.0,0.0,0.0,1967.0,0.0,0.0,0.015820175006122487,0.4115853658536585,0.3364509518723935,0.33044965750333377,0.09146341463414634,1.2804878048780488,0.0,1.1432926829268293,0.8689024390243902,0.015820175006122487,,57,55,3060,50.9,500,0.0,0.0,0.6431372549019608,1.6764705882352942,low,2021,low
GER-Bundesliga,1920,Eintracht Frankfurt,Martin Hinteregger,AUT,DF,26.0,31,30,2721,30.2,8,1,8,0,0,0.3,0.26,45.0,17.0,1.49,0.56,0.18,31.0,32.0,2.0,19.0,35.0,48.0,2668.0,4.827200001105666,1.4694775035604837,4.827200001105666,7.0,8.395308817271143,7.30212827026844,8.0,1.0,45.0,2721.0,0.15966482914351707,0.15966482914351707,0.048604548078075537,0.23153252480705622,0.2776838638568184,0.24152574212574773,0.6284454244762955,1.0584343991179712,0.0661521499448732,1.1576626240352812,1.587651598676957,0.2082693772215926,0.10727111113568147,57,55,3060,50.9,500,0.14035087719298245,0.09,0.8892156862745098,1.6764705882352942,mid,2021,mid
GER-Bundesliga,1920,Eintracht Frankfurt,Sebastian Rode,GER,MF,28.0,29,25,1936,21.5,3,3,3,0,0,0.28,0.14,13.0,6.0,0.6,0.28,0.23,40.0,24.0,1.0,20.0,33.0,34.0,228.0,0.9580091126263142,1.5907359924167397,0.9580091126263142,23.0,7.127661500591785,5.727525976020843,3.0,3.0,13.0,1970.0,0.04453554759109931,0.04453554759109931,0.0739495037797038,1.0692148760330578,0.331347900337428,0.2662589554968367,0.9297520661157024,1.1157024793388428,0.04648760330578512,1.534090909090909,1.580578512396694,0.11848505137080312,0.07369300866356263,57,55,3060,50.9,500,0.05263157894736842,0.026,0.6326797385620915,1.6764705882352942,mid,2021,low
GER-Bundesliga,1920,Freiburg,Christian Günter,GER,"MF,DF",26.0,34,34,3029,33.7,2,8,2,0,0,0.3,0.06,32.0,8.0,0.95,0.24,0.06,21.0,23.0,3.0,279.0,15.0,14.0,4243.0,1.2055699182674289,8.441035445779562,1.2055699182674289,80.0,9.718329538591206,5.42901882622391,2.0,8.0,32.0,3036.0,0.035820829529240206,0.035820829529240206,0.25080659957747126,2.37702211951139,0.2887585534741527,0.16131122296472494,8.28986464179597,0.6833938593595246,0.08913832948167712,0.44569164740838557,0.4159788709144932,0.28662742910671146,0.03767405994585715,46,41,3060,48.1,442,0.043478260869565216,0.07239819004524888,0.9898692810457517,1.3529411764705883,mid,2021,mid
GER-Bundesliga,1920,Freiburg,Dominique Heintz,GER,DF,25.0,28,27,2434,27.0,0,1,0,0,0,0.04,0.0,4.0,2.0,0.15,0.07,0.0,15.0,15.0,0.0,12.0,41.0,32.0,129.0,0.1719475965946912,0.2299346011132002,0.1719475965946912,4.0,5.120228154584765,4.976120060309768,0.0,1.0,4.0,2432.0,0.0063579637196064945,0.0063579637196064945,0.008502101109362373,0.14790468364831552,0.18932643135276453,0.18399786582903824,0.4437140509449466,0.5546425636811833,0.0,1.516023007395234,1.1832374691865242,0.014860064828968868,0.0429868991486728,46,41,3060,48.1,442,0.0,0.00904977375565611,0.7954248366013071,1.3529411764705883,low,2021,low
