player_id,player_name,age,position,minutes,appearances,starts,subs,goals,assists,g_plus_a_90,shots_90,shots_on_target_90,pens_taken,pens_scored,club_position,season,goals_next,assists_next,next_season_g_plus_a,player_id,g_plus_a_per_90,current_g_plus_a
97,Alex Iwobi,26,LW,2034,28,22,6,2,2,0.18,1.06,0.27,0,0,16,2021,2,7,9,77,,4
98,Mohamed Salah,29,RW,2762,35,30,5,23,13,1.17,4.53,1.96,6,5,2,2021,19,12,31,79,,36
99,Raheem Sterling,27,RW,2128,30,23,7,13,5,0.76,2.45,1.18,3,2,1,2021,6,3,9,80,,18
100,Jarrod Bowen,25,RW,2983,36,34,2,12,10,0.66,2.41,1.06,0,0,7,2021,6,5,11,81,,22
101,Bukayo Saka,20,RW,2978,38,36,2,11,7,0.54,2.93,0.94,2,2,5,2021,14,11,25,82,,18
102,Riyad Mahrez,31,RW,1499,28,15,13,11,5,0.96,3.66,1.38,5,4,1,2021,5,10,15,83,,16
103,Bryan Mbeumo,22,RW,2905,35,34,1,4,7,0.34,2.39,0.68,1,1,13,2021,9,8,17,85,,11
104,Michael Olise,20,RW,1140,26,12,14,2,5,0.55,1.5,0.79,0,0,12,2021,2,11,13,87,,7
105,Jacob Murphy,27,RW,1473,33,13,20,1,2,0.18,1.65,0.31,0,0,11,2021,4,2,6,89,,3
106,Miguel Almiron,28,RW,1716,30,19,11,1,0,0.05,1.68,0.37,0,0,11,2021,11,2,13,90,,1
107,Adama Traore,25,RW,1066,20,10,10,1,0,0.08,1.94,0.42,0,0,10,2021,2,1,3,91,,1
108,Alexis Mac Allister,24,AM,2886,35,31,4,10,2,0.37,2.68,1.06,6,6,6,2022,5,5,10,1,,12
109,Pascal Grob,31,AM,3239,37,37,0,9,8,0.47,1.11,0.53,0,0,6,2022,4,11,15,2,,17
110,James Ward-Prowse,28,AM,3371,38,38,0,9,4,0.35,1.17,0.53,4,2,20,2022,7,7,14,3,,13
111,Philip Billing,26,AM,2765,36,34,2,7,1,0.26,1.24,0.59,0,0,15,2022,2,2,4,5,,8
112,Douglas Luiz,25,AM,2927,37,33,4,6,6,0.37,1.05,0.37,0,0,7,2022,9,5,14,7,,12
