understat_player_id,player,team,league,season,cluster_kmeans
8706.0,Eberechi Eze,Crystal Palace,ENG-Premier League,2223,0
672.0,Jordan Ayew,Crystal Palace,ENG-Premier League,2223,3
9948.0,Michael Olise,Crystal Palace,ENG-Premier League,2223,0
3697.0,Odsonne Édouard,Crystal Palace,ENG-Premier League,2223,2
522.0,Wilfried Zaha,Crystal Palace,ENG-Premier League,2223,3
8150.0,Anthony Gordon,Everton,ENG-Premier League,2223,2
762.0,Demarai Gray,Everton,ENG-Premier League,2223,0
5555.0,Dominic Calvert-Lewin,Everton,ENG-Premier League,2223,2
6756.0,Dwight McNeil,Everton,ENG-Premier League,2223,0
3621.0,Neal Maupay,Everton,ENG-Premier League,2223,2
773.0,Aleksandar Mitrović,Fulham,ENG-Premier League,2223,4
7395.0,Carlos Vinícius,Fulham,ENG-Premier League,2223,2
11296.0,Cody Gakpo,Liverpool,ENG-Premier League,2223,1
10720.0,Darwin Núñez,Liverpool,ENG-Premier League,2223,4
6854.0,Diogo Jota,Liverpool,ENG-Premier League,2223,2
10408.0,Luis Díaz,Liverpool,ENG-Premier League,2223,1
1250.0,Mohamed Salah,Liverpool,ENG-Premier League,2223,4
482.0,Roberto Firmino,Liverpool,ENG-Premier League,2223,4
3635.0,Bernardo Silva,Manchester City,ENG-Premier League,2223,0
8260.0,Erling Haaland,Manchester City,ENG-Premier League,2223,4
675.0,Jack Grealish,Manchester City,ENG-Premier League,2223,1
10846.0,Julián Álvarez,Manchester City,ENG-Premier League,2223,4
6055.0,Phil Foden,Manchester City,ENG-Premier League,2223,1
750.0,Riyad Mahrez,Manchester City,ENG-Premier League,2223,1
5232.0,Alexander Isak,Newcastle United,ENG-Premier League,2223,2
101.0,Allan Saint-Maximin,Newcastle United,ENG-Premier League,2223,0
468.0,Callum Wilson,Newcastle United,ENG-Premier League,2223,4
6063.0,Jacob Murphy,Newcastle United,ENG-Premier League,2223,0
87.0,Joelinton,Newcastle United,ENG-Premier League,2223,3
7420.0,Miguel Almirón,Newcastle United,ENG-Premier League,2223,2
10760.0,Brennan Johnson,Nottingham Forest,ENG-Premier League,2223,2
558.0,Jesse Lingard,Nottingham Forest,ENG-Premier League,2223,3
6857.0,Morgan Gibbs-White,Nottingham Forest,ENG-Premier League,2223,0
7814.0,Taiwo Awoniyi,Nottingham Forest,ENG-Premier League,2223,2
4419.0,Adam Armstrong,Southampton,ENG-Premier League,2223,3
11297.0,Carlos Alcaraz,Southampton,ENG-Premier League,2223,2
7700.0,Che Adams,Southampton,ENG-Premier League,2223,2
9630.0,Kamaldeen Sulemana,Southampton,ENG-Premier League,2223,3
